"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","0","","test_validation","TestValidation","","","test_jsonschema_validate",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","133","","Tests for pets","TestPetApi","","","Verify finding pets by statuses",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","500","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:12 GMT 2023","281","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"skipped","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","0","","test_validation","TestValidation","","","test_pydantic_validate",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","327","","Tests for pets","TestPetApi","","","Verify finding pet by ID",""
"passed","Wed Dec 27 14:34:10 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","425","","Tests for pets","TestPetApi","","","Verify adding a new pet to the store",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","451","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","219","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"passed","Wed Dec 27 14:34:11 GMT 2023","Wed Dec 27 14:34:11 GMT 2023","254","","Tests for pets","TestPetApi","","","Verify deleting a pet",""
