"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:44 GMT 2023","397","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:44 GMT 2023","419","","Tests for pets","TestPetApi","","","Verify deleting a pet",""
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","326","","Tests for pets","TestPetApi","","","Verify finding pet by ID",""
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","400","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"skipped","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","0","","test_validation","TestValidation","","","test_jsonschema_validate",""
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","473","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
"skipped","Wed Dec 27 15:08:44 GMT 2023","Wed Dec 27 15:08:44 GMT 2023","0","","test_validation","TestValidation","","","test_pydantic_validate",""
"passed","Wed Dec 27 15:08:42 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","409","","Tests for pets","TestPetApi","","","Verify adding a new pet to the store",""
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","255","","Tests for pets","TestPetApi","","","Verify finding pets by statuses",""
"passed","Wed Dec 27 15:08:43 GMT 2023","Wed Dec 27 15:08:43 GMT 2023","463","","Tests for pets","TestPetApi","","","Verify updating an existing pet",""
