"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 18:15:30 GMT 2023","Mon Dec 11 18:15:30 GMT 2023","77","","test_pets","TestPetApi","","","test_finding_pet_by_id","
        Verify finding pet by ID
        "
"passed","Mon Dec 11 18:15:28 GMT 2023","Mon Dec 11 18:15:28 GMT 2023","116","","test_pets","TestPetApi","","","test_adding_pet","
        Verify adding a new pet to the store
        "
"passed","Mon Dec 11 18:15:30 GMT 2023","Mon Dec 11 18:15:30 GMT 2023","9","","test_validation","TestValidation","","","test_jsonschema_validate",""
"passed","Mon Dec 11 18:15:29 GMT 2023","Mon Dec 11 18:15:29 GMT 2023","111","","test_pets","TestPetApi","","","test_updating_pet_by_id_and_status","
        Verify updating an existing pet
        "
"passed","Mon Dec 11 18:15:29 GMT 2023","Mon Dec 11 18:15:30 GMT 2023","134","","test_pets","TestPetApi","","","test_updating_pet_by_id_name_and_status","
        Verify updating an existing pet
        "
"passed","Mon Dec 11 18:15:29 GMT 2023","Mon Dec 11 18:15:29 GMT 2023","137","","test_pets","TestPetApi","","","test_updating_pet_by_id_and_name","
        Verify updating an existing pet
        "
"passed","Mon Dec 11 18:15:30 GMT 2023","Mon Dec 11 18:15:30 GMT 2023","0","","test_validation","TestValidation","","","test_pydantic_validate",""
"passed","Mon Dec 11 18:15:29 GMT 2023","Mon Dec 11 18:15:29 GMT 2023","277","","test_pets","TestPetApi","","","test_updating_pet","
        Verify updating an existing pet
        "
"passed","Mon Dec 11 18:15:30 GMT 2023","Mon Dec 11 18:15:30 GMT 2023","123","","test_pets","TestPetApi","","","test_delete_pet","
        Verify deleting a pet
        "
"passed","Mon Dec 11 18:15:30 GMT 2023","Mon Dec 11 18:15:30 GMT 2023","55","","test_pets","TestPetApi","","","test_finding_pets_by_status","
        Verify finding pets by statuses
        "
